Tree Decompositions,Times
Features_tree51-9.ml.csv,6.008
Features_tree40-8.ml.csv,1.855
Features_tree47-8.ml.csv,7.871
Features_tree26-7.ml.csv,8.756
Features_tree29-8.ml.csv,1.138
Features_tree43-4.ml.csv,1.774
Features_tree43-5.ml.csv,1.674
Features_tree25-4.ml.csv,1.407
Features_tree25-8.ml.csv,1.496
Features_tree60-3.ml.csv,3.417
Features_tree15-8.ml.csv,3.287
Features_tree28-9.ml.csv,7.066
Features_tree25-1.ml.csv,1.444
Features_tree15-2.ml.csv,3.657
Features_tree73-3.ml.csv,1.113
Features_tree26-10.ml.csv,6.546
Features_tree77-3.ml.csv,1.449
Features_tree21-3.ml.csv,7.953
Features_tree11-8.ml.csv,11.272
Features_tree78-9.ml.csv,7.27
Features_tree59-2.ml.csv,5.221
Features_tree77-5.ml.csv,1.412
Features_tree61-6.ml.csv,9.786
Features_tree76-2.ml.csv,4.611
Features_tree57-8.ml.csv,3.291
Features_tree30-8.ml.csv,4.43
Features_tree43-8.ml.csv,1.116
Features_tree10-5.ml.csv,2.2
Features_tree70-3.ml.csv,4.566
Features_tree78-10.ml.csv,7.596
Features_tree40-7.ml.csv,1.553
Features_tree22-9.ml.csv,2.03
Features_tree23-5.ml.csv,6.671
Features_tree78-4.ml.csv,7.518
Features_tree43-6.ml.csv,1.19
Features_tree20-4.ml.csv,11.236
Features_tree21-5.ml.csv,9.327
Features_tree69-1.ml.csv,25.101
Features_tree12-10.ml.csv,6.297
Features_tree74-8.ml.csv,0.996
Features_tree15-1.ml.csv,3.083
Features_tree73-2.ml.csv,0.835
Features_tree60-8.ml.csv,3.489
Features_tree30-7.ml.csv,4.09
Features_tree52-2.ml.csv,0.915
Features_tree68-4.ml.csv,11.674
Features_tree12-2.ml.csv,5.646
Features_tree28-1.ml.csv,6.469
Features_tree70-9.ml.csv,4.395
Features_tree76-3.ml.csv,3.731
Features_tree57-1.ml.csv,2.832
Features_tree76-9.ml.csv,5.175
Features_tree79-10.ml.csv,7.577
Features_tree13-10.ml.csv,5.634
Features_tree24-5.ml.csv,21.557
Features_tree48-3.ml.csv,6.873
Features_tree73-8.ml.csv,0.959
Features_tree56-10.ml.csv,6.013
Features_tree68-6.ml.csv,9.066
Features_tree45-2.ml.csv,5.446
Features_tree30-10.ml.csv,4.19
Features_tree59-6.ml.csv,4.471
Features_tree19-9.ml.csv,4.501
Features_tree79-4.ml.csv,5.913
Features_tree53-3.ml.csv,4.403
Features_tree19-2.ml.csv,4.669
Features_tree77-10.ml.csv,1.346
Features_tree68-9.ml.csv,10.147
Features_tree57-9.ml.csv,2.998
Features_tree45-7.ml.csv,5.273
Features_tree54-4.ml.csv,8.216
Features_tree63-9.ml.csv,2.162
