Features,BagSizeCount,BagSizeMax,BagSizeMin,BagSizeMean,BagSizeMedian,BagSizeSd,BagSizeNonLeafCount,BagSizeNonLeafMax,BagSizeNonLeafMin,BagSizeNonLeafMean,BagSizeNonLeafMedian,BagSizeNonLeafSd,BagSizeNonEmptyCount,BagSizeNonEmptyMax,BagSizeNonEmptyMin,BagSizeNonEmptyMean,BagSizeNonEmptyMedian,BagSizeNonEmptySd,CumulativeBagSize,DecompositionOverheadRatio,ContainerCountMax,ContainerCountMin,ContainerCountMean,ContainerCountMedian,ContainerCountSd,ItemLifeTimeMax,ItemLifeTimeMin,ItemLifeTimeMean,ItemLifeTimeMedian,ItemLifeTimeSd,NodesDepthMax,NodeDepthMin,NodeDepthMean,NodeDepthMedian,NodeDepthSd,NodeDepthNonLeafMax,NodeDepthNonLeafMin,NodeDepthNonLeafMean,NodeDepthNonLeafMedian,NodeDepthNonLeafSd,NodeDepthNonEmptyMax,NodeDepthNonEmptyMin,NodeDepthNonEmptyMean,NodeDepthNonEmptyMedian,NodeDepthNonEmptySd,PercentageLeaf,PercentageIntroduce,PercentageForget,PercentageJoin,BagSizeLeafCount,BagSizeLeafMax,BagSizeLeafMin,BagSizeLeafMean,BagSizeLeafMedian,BagSizeLeafSd,BagSizeIntroduceCount,BagSizeIntroduceMax,BagSizeIntroduceMin,BagSizeIntroduceMean,BagSizeIntroduceMedian,BagSizeIntroduceSd,BagSizeForgetCount,BagSizeForgetMax,BagSizeForgetMin,BagSizeForgetMean,BagSizeForgetMedian,BagSizeForgetSd,BagSizeJoinCount,BagSizeJoinMax,BagSizeJoinMin,BagSizeJoinMean,BagSizeJoinMedian,BagSizeJoinSd,CumulativeBagSizeLeaf,CumulativeBagSizeIntroduce,CumulativeBagSizeForget,CumulativeBagSizeJoin,DepthLeafMax,DepthLeafMin,DepthLeafMean,DepthLeafMedian,DepthLeafSd,DepthIntroduceMax,DepthIntroduceMin,DepthIntroduceMean,DepthIntroduceMedian,DepthIntroduceSd,DepthForgetMax,DepthForgetMin,DepthForgetMean,DepthForgetMedian,DepthForgetSd,DepthJoinMax,DepthJoinMin,DepthJoinMean,DepthJoinMedian,DepthJoinSd,JoinNodeDistanceMax,JoinNodeDistanceMin,JoinNodeDistanceMean,JoinNodeDistanceMedian,JoinNodeDistanceSd,BranchingFactorMax,BranchingFactorMin,BranchingFactorMean,BranchingFactorMedian,BranchingFactorSd,BAFMax,BAFMin,BAFMean,BAFMedian,BAFSd,BCFMax,BCFMin,BCFMean,BCFMedian,BCFSd,BNCFMax,BNCFMin,BNCFMean,BNCFMedian,BNCFSd,IVNCMax,IVNCMin,IVNCMean,IVNCMedian,IVNCSd,FVNCMax,FVNCMin,FVNCMean,FVNCMedian,FVNCSd,IVCFMax,IVCFMin,IVCFMean,IVCFMedian,IVCFSd,FVCFMax,FVCFMin,FVCFMean,FVCFMedian,FVCFSd
Features_tree80-2.ml.csv,4.0,3.0,0.0,1.6376811594202898,2.0,0.9320542139602044,4.0,3.0,0.0,1.8524590163934427,2.0,0.7647150026026623,3.0,3.0,1.0,1.8833333333333333,2.0,0.7323857514239943,113.0,5.65,25.0,1.0,5.65,2.5,6.513639535620619,12.0,1.0,3.9,2.5,3.1128764832546763,22.0,0.0,13.666666666666666,15.0,5.006276254100162,21.0,0.0,13.0,14.0,4.8889302862960005,21.0,1.0,13.216666666666667,14.0,4.629944804086641,0.11594202898550725,0.4927536231884058,0.2898550724637681,0.10144927536231885,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.088235294117647,2.0,0.742319380242586,3.0,2.0,0.0,1.4,1.0,0.5830951894845301,3.0,3.0,1.0,2.0,2.0,0.7559289460184544,0.0,71.0,28.0,14.0,22.0,16.0,18.75,18.0,2.165063509461097,21.0,2.0,14.294117647058824,15.0,4.280801270273001,19.0,0.0,11.25,12.5,5.629165124598851,17.0,7.0,11.714285714285714,12.0,3.1943828249996997,11.0,1.0,4.9523809523809526,5.0,2.76846511499974,2.0,0.0,0.9855072463768116,1.0,0.46602710698010225,1.0,0.0,0.5410628019323671,0.6666666666666666,0.4717509416708678,1.0,0.0,0.8695652173913043,1.0,0.33678116053977547,0.75,0.0,0.14231078904991948,0.0,0.23303511391100748,2.0,0.0,0.6470588235294118,1.0,0.5882352941176471,2.0,0.0,1.1,1.0,0.5385164807134504,1.0,0.3333333333333333,0.5637254901960784,0.5,0.25248667175835116,1.0,0.0,0.95,1.0,0.2179449471770337
Features_tree79-9.ml.csv,4.0,3.0,0.0,1.7792207792207793,2.0,0.9885497264407827,4.0,3.0,0.0,2.014705882352941,2.0,0.7950702347596041,3.0,3.0,1.0,2.044776119402985,2.0,0.7616328849058551,137.0,6.85,27.0,1.0,6.85,4.0,8.051552645297676,14.0,1.0,4.35,4.0,3.7319565913874193,22.0,0.0,11.506493506493506,11.0,4.98471267294074,21.0,0.0,10.985294117647058,11.0,4.827898845920033,21.0,1.0,11.149253731343284,11.0,4.6720947756158395,0.11688311688311688,0.5194805194805194,0.2597402597402597,0.1038961038961039,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.175,2.0,0.7709571972554637,3.0,2.0,0.0,1.5,2.0,0.5916079783099616,3.0,3.0,1.0,2.5,3.0,0.7071067811865476,0.0,87.0,30.0,20.0,22.0,10.0,15.444444444444445,17.0,4.348974620173539,21.0,4.0,12.05,12.0,4.370068649346369,19.0,0.0,10.1,10.5,5.281098370604357,16.0,3.0,7.875,7.5,3.950870157319777,14.0,1.0,5.75,5.0,3.470539274686696,2.0,0.0,0.987012987012987,1.0,0.469691982338315,1.0,0.0,0.6147186147186147,0.6666666666666666,0.42662112535947766,1.0,0.0,0.8701298701298701,1.0,0.33616049624791644,0.75,0.0,0.18322510822510824,0.15,0.21975243768872782,2.0,0.0,0.8,1.0,0.6000000000000001,2.0,0.0,1.2,1.0,0.6000000000000001,1.0,0.3333333333333333,0.5458333333333333,0.5,0.25546118426615555,1.0,0.0,0.95,1.0,0.21794494717703372
Features_tree16-8.ml.csv,4.0,3.0,0.0,1.8194444444444444,2.0,0.9621502090065552,4.0,3.0,0.0,2.046875,2.0,0.7588990277863057,3.0,3.0,1.0,2.0793650793650795,2.0,0.7193821710237879,131.0,6.55,31.0,1.0,6.55,3.0,7.242064622743986,14.0,1.0,4.4,3.0,3.168595903550972,20.0,0.0,11.152777777777779,12.0,4.348242691728791,19.0,0.0,10.5625,11.0,4.1902975729654335,19.0,1.0,10.73015873015873,11.0,4.004784238907455,0.1111111111111111,0.5138888888888888,0.2777777777777778,0.09722222222222222,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.2162162162162162,2.0,0.7758216267247202,3.0,2.0,0.0,1.6,2.0,0.5830951894845301,2.0,3.0,2.0,2.4285714285714284,2.0,0.49487165930539345,0.0,82.0,32.0,17.0,20.0,13.0,15.875,16.0,2.1469455046647083,19.0,4.0,11.891891891891891,12.0,3.6818310939706147,16.0,0.0,9.0,9.5,4.427188724235731,12.0,3.0,8.0,8.0,3.1622776601683795,15.0,1.0,6.857142857142857,7.0,3.7452918289972734,2.0,0.0,0.9861111111111112,1.0,0.4562241029349123,1.0,0.0,0.6064814814814815,0.6666666666666666,0.4350620393140801,1.0,0.0,0.875,1.0,0.33071891388307384,0.75,0.0,0.18661265432098764,0.09166666666666667,0.21665594623134402,2.0,0.0,0.918918918918919,1.0,0.7119967498551076,2.0,0.0,1.3,1.0,0.6403124237432849,1.0,0.3333333333333333,0.536036036036036,0.5,0.2544945385914511,1.0,0.0,0.95,1.0,0.21794494717703372
Features_tree67-4.ml.csv,4.0,3.0,0.0,1.5070422535211268,2.0,0.8860934907056806,4.0,3.0,0.0,1.7258064516129032,2.0,0.7222133282980034,3.0,3.0,1.0,1.7540983606557377,2.0,0.6931926069464254,107.0,5.35,27.0,1.0,5.35,3.0,6.076800144813057,11.0,1.0,3.65,3.0,2.650943228362313,19.0,0.0,11.23943661971831,12.0,4.184023229718976,18.0,0.0,10.629032258064516,11.0,4.049029636710433,18.0,1.0,10.80327868852459,11.0,3.8446030818224832,0.1267605633802817,0.4788732394366197,0.28169014084507044,0.11267605633802817,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.9705882352941178,2.0,0.7064948323214303,3.0,2.0,0.0,1.3,1.0,0.5567764362830021,3.0,3.0,1.0,1.75,2.0,0.6614378277661477,0.0,67.0,26.0,14.0,19.0,12.0,15.444444444444445,16.0,2.2166597048066667,18.0,4.0,11.823529411764707,12.0,3.518610924408984,16.0,0.0,9.4,10.0,4.5541190146942805,13.0,3.0,8.625,8.5,2.9553976043842223,15.0,1.0,7.464285714285714,7.5,4.013211600070295,2.0,0.0,0.9859154929577465,1.0,0.48911986913198136,1.0,0.0,0.6431924882629108,1.0,0.4590387440969132,1.0,0.0,0.8591549295774648,1.0,0.3478616629641822,0.75,0.0,0.16028951486697965,0.0,0.2432917561744671,2.0,0.0,0.7647058823529411,1.0,0.7299808027053444,2.0,0.0,1.15,1.0,0.47696960070847283,1.0,0.3333333333333333,0.5931372549019608,0.5,0.2530570490027511,1.0,0.0,0.95,1.0,0.21794494717703372
Features_tree21-1.ml.csv,4.0,3.0,0.0,1.9054054054054055,2.0,0.9887053904778565,4.0,3.0,0.0,2.1363636363636362,2.0,0.7762841489363332,3.0,3.0,1.0,2.169230769230769,2.0,0.7352494243291398,141.0,7.05,27.0,1.0,7.05,4.0,7.1026403541218395,13.0,1.0,4.75,4.0,3.359687485466468,19.0,0.0,10.756756756756756,11.0,4.2196797970321605,18.0,0.0,10.181818181818182,11.0,4.037359964394265,18.0,1.0,10.338461538461539,11.0,3.8641425482422482,0.10810810810810811,0.527027027027027,0.2702702702702703,0.0945945945945946,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.282051282051282,2.0,0.7827865396140384,3.0,2.0,0.0,1.65,2.0,0.5722761571129799,2.0,3.0,2.0,2.7142857142857144,3.0,0.4517539514526256,0.0,89.0,33.0,19.0,19.0,12.0,15.5,16.0,2.23606797749979,18.0,4.0,11.512820512820513,11.0,3.44831281578059,16.0,0.0,8.6,9.0,4.259107887809371,12.0,3.0,7.285714285714286,7.0,3.1943828249996997,10.0,1.0,5.238095238095238,5.0,2.5430533186321314,2.0,0.0,0.9864864864864865,1.0,0.45002231906342466,1.0,0.0,0.47297297297297297,0.3333333333333333,0.4485771859580381,1.0,0.0,0.8783783783783784,1.0,0.3268482870931844,0.7777777777777778,0.0,0.16816816816816815,0.0,0.22878320779852923,2.0,0.0,0.6666666666666666,1.0,0.5699002761767402,2.0,0.0,1.15,1.0,0.7262919523166975,1.0,0.3333333333333333,0.5213675213675214,0.5,0.2536892663189031,1.0,0.0,0.95,1.0,0.21794494717703372
Features_tree77-6.ml.csv,4.0,3.0,0.0,2.018181818181818,2.0,0.924237456519188,4.0,3.0,0.0,2.176470588235294,2.0,0.7594084992563562,3.0,3.0,1.0,2.22,2.0,0.7011419257183241,111.0,5.55,17.0,1.0,5.55,4.0,4.727314248069405,12.0,1.0,4.7,4.0,3.0347981810987035,23.0,0.0,10.909090909090908,11.0,5.2337114495537564,22.0,0.0,10.411764705882353,10.0,5.026114043275304,22.0,1.0,10.62,10.5,4.853411171536984,0.07272727272727272,0.509090909090909,0.36363636363636365,0.05454545454545454,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.4642857142857144,3.0,0.7310531960878115,3.0,2.0,0.0,1.7,2.0,0.5567764362830021,2.0,3.0,2.0,2.6666666666666665,3.0,0.4714045207910317,0.0,69.0,34.0,8.0,23.0,15.0,17.25,15.5,3.344772040064913,22.0,4.0,11.857142857142858,12.0,4.564727231048702,20.0,0.0,9.2,9.0,5.075431016179808,8.0,3.0,5.0,4.0,2.160246899469287,5.0,1.0,3.3333333333333335,4.0,1.699673171197595,2.0,0.0,0.9818181818181818,1.0,0.35628941713209866,1.0,0.0,0.6121212121212121,0.6666666666666666,0.4205030002109492,1.0,0.0,0.9090909090909091,1.0,0.28747978728803447,0.75,0.0,0.22484848484848485,0.25,0.22409277015502188,2.0,0.0,1.1071428571428572,1.0,0.6175577309210922,2.0,0.0,1.35,1.0,0.6538348415311009,1.0,0.3333333333333333,0.47023809523809523,0.3333333333333333,0.2273622530331462,1.0,0.0,0.95,1.0,0.21794494717703372
Features_tree27-9.ml.csv,4.0,3.0,0.0,1.5466666666666666,2.0,0.9135036337579008,4.0,3.0,0.0,1.7846153846153847,2.0,0.7336380933886993,3.0,3.0,1.0,1.8125,2.0,0.7043392293490403,116.0,5.8,23.0,1.0,5.8,2.5,6.539113089708726,12.0,1.0,4.0,2.5,3.5355339059327378,25.0,0.0,13.08,13.0,6.0833324200912555,24.0,0.0,12.507692307692308,12.0,5.979768652389043,24.0,1.0,12.703125,12.0,5.816677766077041,0.13333333333333333,0.48,0.26666666666666666,0.12,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,0.7453559924999299,3.0,2.0,0.0,1.4,1.0,0.5830951894845301,3.0,3.0,1.0,1.7777777777777777,2.0,0.6285393610547089,0.0,72.0,28.0,16.0,25.0,7.0,16.8,15.5,5.4,24.0,3.0,13.833333333333334,13.0,5.819030083365364,22.0,0.0,11.05,11.0,5.987278179607158,20.0,2.0,10.444444444444445,10.0,5.209203630991574,18.0,2.0,7.611111111111111,7.0,4.3222793483799835,2.0,0.0,0.9866666666666667,1.0,0.5031456603763522,1.0,0.0,0.6888888888888889,1.0,0.4331908597692873,1.0,0.0,0.8533333333333334,1.0,0.3537733109712427,0.8,0.0,0.1655925925925926,0.0,0.22298521483646688,2.0,0.0,0.8333333333333334,1.0,0.6454972243679028,2.0,0.0,1.25,1.0,0.6224949798994366,1.0,0.3333333333333333,0.5925925925925926,0.5,0.2618914004394621,1.0,0.0,0.95,1.0,0.2179449471770337
Features_tree53-6.ml.csv,4.0,3.0,0.0,1.7333333333333334,2.0,0.9843215373488934,4.0,3.0,0.0,1.9696969696969697,2.0,0.7971482689676306,3.0,3.0,1.0,2.0,2.0,0.7646014547562571,130.0,6.5,32.0,1.0,6.5,3.0,8.315647900193948,13.0,1.0,4.1,3.0,3.047950130825634,16.0,0.0,9.4,10.0,3.4331715172223287,15.0,0.0,8.848484848484848,9.0,3.239165737348562,15.0,1.0,8.984615384615385,9.0,3.070917215487695,0.12,0.5066666666666667,0.26666666666666666,0.10666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.1578947368421053,2.0,0.7788762414183549,3.0,2.0,0.0,1.5,2.0,0.5916079783099616,3.0,3.0,1.0,2.25,2.5,0.82915619758885,0.0,82.0,30.0,18.0,16.0,11.0,13.444444444444445,13.0,1.640535895581489,15.0,5.0,10.0,10.0,2.772040859423935,13.0,0.0,7.85,8.5,3.320767983464066,10.0,3.0,5.875,5.5,2.2043990110685496,12.0,1.0,4.892857142857143,4.5,2.756023088674353,2.0,0.0,0.9866666666666667,1.0,0.4759084879353266,1.0,0.0,0.5955555555555555,0.6666666666666666,0.43646164256678815,1.0,0.0,0.8666666666666667,1.0,0.339934634239519,0.7619047619047619,0.0,0.16774603174603175,0.0,0.2208703072343312,2.0,0.0,0.7631578947368421,1.0,0.6662625737459035,2.0,0.0,1.2,1.0,0.6,1.0,0.3333333333333333,0.5526315789473684,0.5,0.25962541380611837,1.0,0.0,0.95,1.0,0.21794494717703372
Features_tree66-6.ml.csv,4.0,3.0,0.0,1.8305084745762712,2.0,0.9233788794492364,4.0,3.0,0.0,2.0,2.0,0.769800358919501,3.0,3.0,1.0,2.0377358490566038,2.0,0.7258635494970319,108.0,5.4,13.0,1.0,5.4,4.0,3.7735924528226414,9.0,1.0,4.35,4.0,2.0802644062714726,30.0,0.0,13.203389830508474,12.0,7.56391894886383,29.0,0.0,12.75925925925926,11.0,7.4434539602734535,29.0,1.0,13.0,11.0,7.3021061836281955,0.0847457627118644,0.5084745762711864,0.3389830508474576,0.06779661016949153,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.2666666666666666,2.0,0.7272474743090478,3.0,2.0,0.0,1.5,2.0,0.5916079783099616,2.0,3.0,2.0,2.5,2.5,0.5,0.0,68.0,30.0,10.0,30.0,10.0,18.0,15.0,7.183313998427188,29.0,4.0,13.933333333333334,12.0,7.113055289786208,27.0,0.0,11.95,10.5,7.7683653364140905,17.0,3.0,8.0,6.0,5.522680508593631,14.0,1.0,7.666666666666667,7.0,4.749268949591669,2.0,0.0,0.9830508474576272,1.0,0.390198794346486,1.0,0.0,0.7740112994350282,1.0,0.3902805884558315,1.0,0.0,0.8983050847457628,1.0,0.30224668644283065,0.7777777777777778,0.0,0.24924670433145008,0.29166666666666663,0.23808103148939005,2.0,0.0,1.1333333333333333,1.0,0.669991708074726,2.0,0.0,1.35,1.0,0.57227615711298,1.0,0.3333333333333333,0.5111111111111111,0.5,0.23147407395555175,1.0,0.0,0.95,1.0,0.21794494717703372
Features_tree72-6.ml.csv,4.0,3.0,0.0,1.8059701492537314,2.0,0.9656612608729439,4.0,3.0,0.0,2.0166666666666666,2.0,0.7851043808875918,3.0,3.0,1.0,2.0508474576271185,2.0,0.7461478204425471,121.0,6.05,20.0,1.0,6.05,3.0,6.2407932188144155,13.0,1.0,4.65,3.0,3.79835490706174,23.0,0.0,12.865671641791044,13.0,5.39180008262425,22.0,0.0,12.35,13.0,5.25301500727598,22.0,1.0,12.559322033898304,13.0,5.043106341756068,0.1044776119402985,0.5074626865671642,0.29850746268656714,0.08955223880597014,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.235294117647059,2.0,0.7692174606248248,3.0,2.0,0.0,1.55,2.0,0.5894913061275798,3.0,3.0,1.0,2.3333333333333335,2.5,0.7453559924999298,0.0,76.0,31.0,14.0,23.0,9.0,17.285714285714285,18.0,4.462999814803802,22.0,3.0,13.676470588235293,14.0,4.8002486959794695,19.0,0.0,11.05,12.5,5.696270709859215,14.0,4.0,9.166666666666666,9.5,3.3870669054835956,10.0,1.0,5.133333333333334,5.0,2.4458581770458854,2.0,0.0,0.9850746268656716,1.0,0.44023525981351125,1.0,0.0,0.6218905472636815,0.6666666666666666,0.4267021222366481,1.0,0.0,0.8805970149253731,1.0,0.3242621042149318,0.75,0.0,0.1884742951907131,0.0,0.22297512057919355,2.0,0.0,0.9411764705882353,1.0,0.7252251768198796,2.0,0.0,1.25,1.0,0.5361902647381804,1.0,0.3333333333333333,0.5294117647058824,0.5,0.25071984024596905,1.0,0.0,0.95,1.0,0.2179449471770337
